Id,name,primary_muscle,secondary_muscles,core_engagement,unilateral,plyometric,isometric,knee_friendly,spine_load,body_category,type,level,impact,equipment,movement_pattern,tags,avoid_if_knee_issues,avoid_if_lower_back_issues,description,gif_url,fallback_url,fallback_url 2,Fatigue,Modified_Auto
214,Bench Pullover,upper back,,,,,,,,,,,,dumbbells,,,,,,,,,,
215,Dumbbell Pullover,upper back,,,,,,,,,,,,dumbbells,,,,,,,,,,
216,Trx Push Up,chest,,,,,,,,,,,,trx,,,,,,,,,,
217,Trx Chest Fly,chest,,,,,,,,,,,,trx,,,,,,,,,,
218,Resistance Band Chest Press,shoulders,,,,,,,,,,,,band,,,,,,,,,,
219,Neutral Grip Dumbbell Bench Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
220,Kettlebell One Arm Floor Press,shoulders,,,,,,,,,,,,bench,,,,,,,,,,
221,Incline Push Up,chest,,,,,,,,,,,,bench,,,,,,,,,,
222,Decline Dumbbell Bench Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
223,Band Crossover,chest,,,,,,,,,,,,band,,,,,,,,,,
224,Dumbbell Bench Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
225,Neutral Grip Dumbbell Bench Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
226,Standing Band Press,shoulders,,,,,,,,,,,,band,,,,,,,,,,
227,Incline Dumbbell Bench Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
228,Svend Press,shoulders,,,,,,,,,,,,bodyweight,,,,,,,,,,
229,Diamond Push Up,chest,,,,,,,,,,,,band,,,,,,,,,,
230,Resistance Band Fly,chest,,,,,,,,,,,,band,,,,,,,,,,
231,Resistance Band Chest Fly,chest,,,,,,,,,,,,band,,,,,,,,,,
232,Wide Grip Push Up,chest,,,,,,,,,,,,bodyweight,,,,,,,,,,
233,Push Up,chest,,,,,,,,,,,,dumbbells,,,,,,,,,,
234,Single Arm Floor Press,shoulders,,,,,,,,,,,,trx,,,,,,,,,,
235,Trx Pike,shoulders,,,,,,,,,,,,trx,,,,,,,,,,
236,Leg Lowering,core,,,,,,,,,,,,bodyweight,,,,,,,,,,
237,Dead Bug,core,,,,,,,,,,,,dumbbells,,,,,,,,,,
238,Dumbbell Dead Bug,core,,,,,,,,,,,,dumbbells,,,,,,,,,,
239,Dead Bug (Single-Leg Dead Bug),core,,,,,,,,,,,,bodyweight,,,,,,,,,,
240,Bird Dog (Leg-Only),glutes,,,,,,,,,,,,bodyweight,,,,,,,,,,
241,Bird Dog (Arm-Only),shoulders,,,,,,,,,,,,bodyweight,,,,,,,,,,
242,Bird Dog,core,,,,,,,,,,,,dumbbells,,,,,,,,,,
243,Suitcase Carry,core,,,,,,,,,,,,band,,,,,,,,,,
244,Pallof Press,shoulders,,,,,,,,,,,,bodyweight,,,,,,,,,,
245,Straight-Arm Crunch,core,,,,,,,,,,,,bodyweight,,,,,,,,,,
246,Knee Reach Crunch,core,,,,,,,,,,,,bodyweight,,,,,,,,,,
247,Crunch,core,,,,,,,,,,,,dumbbells,,,,,,,,,,
248,Weighted Crunch,core,,,,,,,,,,,,bodyweight,,,,,,,,,,
249,Mountain Climber,core,,,,,,,,,,,,bodyweight,,,,,,,,,,
250,Heel Touch,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,,
251,Oblique Crunch,obliques,,,,,,,,,,,,dumbbells,,,,,,,,,,
252,Dumbbell Side Bend,obliques,,,,,,,,,,,,dumbbells,,,,,,,,,,
253,Russian Twist,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,,
254,Hollow Body Hold,core,,,,,,,,,,,,bodyweight,,,,,,,,,,
255,Plank,core,,,,,,,,,,,,dumbbells,,,,,,,,,,
256,Weighted Plank,core,,,,,,,,,,,,bodyweight,,,,,,,,,,
257,Side Plank,core,,,,,,,,,,,,bodyweight,,,,,,,,,,
258,Curtsy Lunge,quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
259,Reverse Lunge,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
260,Dumbbell Reverse Lunge,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
261,Step Up,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
262,Dumbbell Step Up,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
263,Trx Lunge,quads,,,,,,,,,,,,trx,,,,,,,,,,
264,Dumbbell Lateral Step Up,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
265,Walking Lunges,quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
266,Bulgarian Split Squat,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
267,Glute Bridge,glutes,,,,,,,,,,,,bodyweight,,,,,,,,,,
268,Dumbbell Glute Bridge,glutes,,,,,,,,,,,,dumbbells,,,,,,,,,,
269,Single Leg Glute Bridge,glutes,,,,,,,,,,,,bodyweight,,,,,,,,,,
270,Dumbbell Single Leg Glute Bridge,glutes,,,,,,,,,,,,dumbbells,,,,,,,,,,
271,Donkey Kick,glutes,,,,,,,,,,,,bodyweight,,,,,,,,,,
272,Resistance Band Glute Bridge,glutes,,,,,,,,,,,,band,,,,,,,,,,
273,Single Leg Glute Bridge (Elevated),glutes,,,,,,,,,,,,bodyweight,,,,,,,,,,
274,Standing Hip Extension,glutes,,,,,,,,,,,,bodyweight,,,,,,,,,,
275,Prone Hip Extension,glutes,,,,,,,,,,,,bodyweight,,,,,,,,,,
276,Frog Pump,glutes,,,,,,,,,,,,bodyweight,,,,,,,,,,
277,Trx Hamstring Curl,biceps,,,,,,,,,,,,trx,,,,,,,,,,
278,Dumbbell Romanian Deadlift,glutes,,,,,,,,,,,,dumbbells,,,,,,,,,,
279,Kettlebell Deadlift,glutes,,,,,,,,,,,,kettlebell,,,,,,,,,,
280,Resistance Band Good Morning,hamstrings,,,,,,,,,,,,band,,,,,,,,,,
281,Trx Hamstring Curl (Light),biceps,,,,,,,,,,,,trx,,,,,,,,,,
282,Resistance Band Good Morning (Light),hamstrings,,,,,,,,,,,,band,,,,,,,,,,
283,Hip Hinge,hamstrings,,,,,,,,,,,,bodyweight,,,,,,,,,,
284,Nordic Hamstring Curl (Negative),biceps,,,,,,,,,,,,bodyweight,,,,,,,,,,
285,Single Leg Rdl,hamstrings,,,,,,,,,,,,bodyweight,,,,,,,,,,
286,Banded Pull Through,hamstrings,,,,,,,,,,,,band,,,,,,,,,,
287,Banded Good Morning,hamstrings,,,,,,,,,,,,band,,,,,,,,,,
288,Standing Hip Abduction,hips,,,,,,,,,,,,bodyweight,,,,,,,,,,
289,Resistance Band Hip Abduction,hips,,,,,,,,,,,,band,,,,,,,,,,
290,Fire Hydrant,hips,,,,,,,,,,,,bodyweight,,,,,,,,,,
291,Resistance Band Lateral Walk,hips,,,,,,,,,,,,band,,,,,,,,,,
292,Lying Hip Abduction,hips,,,,,,,,,,,,bodyweight,,,,,,,,,,
293,Resistance Band Lateral Walk (Hip Circle),hips,,,,,,,,,,,,band,,,,,,,,,,
294,Monster Walk,hips,,,,,,,,,,,,bodyweight,,,,,,,,,,
295,Banded Clamshell,hips,,,,,,,,,,,,band,,,,,,,,,,
296,Glute Bridge Hold,glutes,,,,,,,,,,,,bodyweight,,,,,,,,,,
297,Wall Sit,quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
298,Weighted Wall Sit,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
299,Single Leg Wall Sit,quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
300,Kettlebell Goblet Squat Hold,quads,,,,,,,,,,,,kettlebell,,,,,,,,,,
301,Squat Hold,quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
302,Dumbbell Squat Hold,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
303,Squat Hold (Light),quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
304,Lunge Hold,quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
305,Lying Leg Raise,hip flexors,,,,,,,,,,,,bodyweight,,,,,,,,,,
306,Trx Squat,quads,,,,,,,,,,,,trx,,,,,,,,,,
307,Dumbbell Goblet Squat,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
308,Dumbbell Leg Extension,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
309,Banded Squat,quads,,,,,,,,,,,,band,,,,,,,,,,
310,Spanish Squat,quads,,,,,,,,,,,,band,,,,,,,,,,
311,Sissy Squat (Supported),quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
312,Step Down,quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
313,Sumo Squat,quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
314,Dumbbell Sumo Squat,quads,,,,,,,,,,,,dumbbells,,,,,,,,,,
315,Resistance Band Sumo Deadlift,glutes,,,,,,,,,,,,band,,,,,,,,,,
316,Kettlebell Sumo Deadlift,glutes,,,,,,,,,,,,kettlebell,,,,,,,,,,
317,Kettlebell Sumo Deadlift (Light),glutes,,,,,,,,,,,,kettlebell,,,,,,,,,,
318,Kettlebell Sumo Squat (Light),quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
319,Cuban Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
320,Arnold Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
321,One Arm Kettlebell Press,shoulders,,,,,,,,,,,,kettlebell,,,,,,,,,,
322,Arnold Press (Light),shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
323,Resistance Band Shoulder Press,shoulders,,,,,,,,,,,,band,,,,,,,,,,
324,Pike Push Up (Light),shoulders,,,,,,,,,,,,bodyweight,,,,,,,,,,
325,Dumbbell Shoulder Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
326,Arnold Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
327,Pike Push Up (Standard),shoulders,,,,,,,,,,,,bodyweight,,,,,,,,,,
328,Band External Rotation,shoulders,,,,,,,,,,,,band,,,,,,,,,,
329,Band Internal Rotation,shoulders,,,,,,,,,,,,band,,,,,,,,,,
330,Trx Face Pull,shoulders,,,,,,,,,,,,trx,,,,,,,,,,
331,Trx Y Fly,shoulders,,,,,,,,,,,,trx,,,,,,,,,,
332,Trx T Fly,shoulders,,,,,,,,,,,,trx,,,,,,,,,,
333,Band Pull-Apart,shoulders,,,,,,,,,,,,band,,,,,,,,,,
334,Floor Y Raise,shoulders,,,,,,,,,,,,bodyweight,,,,,,,,,,
335,Diagonal Band Pull Apart,shoulders,,,,,,,,,,,,band,,,,,,,,,,
336,Dumbbell Front Raise,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
337,Band Front Raise,shoulders,,,,,,,,,,,,band,,,,,,,,,,
338,Dumbbell Lateral Raise,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
339,Single-Arm Lateral Raise,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
340,Chest-Supported Lateral Raise,shoulders,,,,,,,,,,,,bench,,,,,,,,,,
341,Band Upright Row,back,,,,,,,,,,,,band,,,,,,,,,,
342,Scaption (Y Raise),shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
343,Bench Dip,triceps,,,,,,,,,,,,bench,,,,,,,,,,
344,Trx Triceps Extension,triceps,,,,,,,,,,,,trx,,,,,,,,,,
345,Dumbbell Tricep Kickback,triceps,,,,,,,,,,,,dumbbells,,,,,,,,,,
346,Bench Tricep Kickback,triceps,,,,,,,,,,,,bench,,,,,,,,,,
347,Band Triceps Extension,triceps,,,,,,,,,,,,band,,,,,,,,,,
348,Skullcrusher (Light),triceps,,,,,,,,,,,,dumbbells,,,,,,,,,,
349,Close Grip Dumbbell Bench Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
350,Chest-Supported Kickback,triceps,,,,,,,,,,,,bench,,,,,,,,,,
351,Band Kickback,triceps,,,,,,,,,,,,band,,,,,,,,,,
352,Band Single-Arm Triceps,triceps,,,,,,,,,,,,band,,,,,,,,,,
353,Floor Triceps Press,shoulders,,,,,,,,,,,,bodyweight,,,,,,,,,,
354,Trx Single-Arm Triceps,triceps,,,,,,,,,,,,trx,,,,,,,,,,
355,Band Pushdown,triceps,,,,,,,,,,,,band,,,,,,,,,,
356,Tate Press,shoulders,,,,,,,,,,,,dumbbells,,,,,,,,,,
357,Diamond Push-Up,chest,,,,,,,,,,,,bodyweight,,,,,,,,,,
358,Overhead Triceps Extension,triceps,,,,,,,,,,,,dumbbells,,,,,,,,,,
359,Overhead Band Extension,triceps,,,,,,,,,,,,band,,,,,,,,,,
360,Tree Pose,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
361,Warrior Iii,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
362,Eagle Pose,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
363,Boat Pose,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
364,Side Plank (Yoga),core,,,,,,,,,,,,bodyweight,,,,,,,,,,
365,Sun Salutation A,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
366,Warrior I,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
367,Warrior Ii,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
368,Reverse Warrior,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
369,Crescent Lunge,quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
370,Triangle Pose,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
371,Cat-Cow Stretch,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
372,Downward Facing Dog,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
373,Child'S Pose,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
374,Thread The Needle,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
375,Savasana (Corpse Pose),yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
376,Seated Meditation,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
377,Pigeon Pose,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
378,Seated Forward Bend,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
379,Supine Spinal Twist,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
380,Butterfly Pose,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
381,Happy Baby Pose,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
382,Cobra Pose,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
383,Lizard Pose,yoga,,,,,,,,,,,,bodyweight,,,,,,,,,,
384,Lateral Step Up,quads,,,,,,,,,,,,bodyweight,,,,,,,,,,
385,Wall Roll Down,spine,,,,,,,,,,,,pilateswall,,,,,,,,,,
386,Wall Roll Up,spine,,,,,,,,,,,,pilateswall,,,,,,,,,,
387,Wall Angels,shoulders,,,,,,,,,,,,pilateswall,,,,,,,,,,
388,Wall Arm Circles,shoulders,,,,,,,,,,,,pilateswall,,,,,,,,,,
389,Wall Chest Opener,chest,,,,,,,,,,,,pilateswall,,,,,,,,,,
390,Wall Scapula Slides,upper back,,,,,,,,,,,,pilateswall,,,,,,,,,,
391,Wall Neck Alignment,neck,,,,,,,,,,,,pilateswall,,,,,,,,,,
392,Wall Side Bend,obliques,,,,,,,,,,,,pilateswall,,,,,,,,,,
393,Wall Spine Stretch Forward,spine,,,,,,,,,,,,pilateswall,,,,,,,,,,
394,Wall Cat-Cow,spine,,,,,,,,,,,,pilateswall,,,,,,,,,,
395,Wall Squat,quads,,,,,,,,,,,,pilateswall,,,,,,,,,,
396,Wall Sit Hold,quads,,,,,,,,,,,,pilateswall,,,,,,,,,,
397,Wall Bridge Prep,glutes,,,,,,,,,,,,pilateswall,,,,,,,,,,
398,Wall Pelvic Tilt,core,,,,,,,,,,,,pilateswall,,,,,,,,,,
399,Wall Leg Slides,hip flexors,,,,,,,,,,,,pilateswall,,,,,,,,,,
400,Wall Marching,hip flexors,,,,,,,,,,,,pilateswall,,,,,,,,,,
401,Wall Single-Leg Press,shoulders,,,,,,,,,,,,pilateswall,,,,,,,,,,
402,Wall Calf Raises,calves,,,,,,,,,,,,pilateswall,,,,,,,,,,
403,Wall Side Leg Lift,glutes,,,,,,,,,,,,pilateswall,,,,,,,,,,
404,Wall Standing Clamshell,glutes,,,,,,,,,,,,pilateswall,,,,,,,,,,
405,Wall Plank Incliné,core,,,,,,,,,,,,pilateswall,,,,,,,,,,
406,Wall Forearm Plank,core,,,,,,,,,,,,pilateswall,,,,,,,,,,
407,Wall Push-Off Balance,core,,,,,,,,,,,,pilateswall,,,,,,,,,,
408,Wall Bird-Dog Debout,core,,,,,,,,,,,,pilateswall,,,,,,,,,,
409,Wall Toe Taps,hip flexors,,,,,,,,,,,,pilateswall,,,,,,,,,,
410,Wall Heel Slides,hamstrings,,,,,,,,,,,,pilateswall,,,,,,,,,,
411,Wall Push-Up,chest,,,,,,,,,,,,pilateswall,,,,,,,,,,
412,Wall Wide Push-Up,chest,,,,,,,,,,,,pilateswall,,,,,,,,,,
413,Wall One-Arm Push-Up,chest,,,,,,,,,,,,pilateswall,,,,,,,,,,
414,Wall Triceps Extension,triceps,,,,,,,,,,,,pilateswall,,,,,,,,,,
415,Wall Diamond Push-Up,chest,,,,,,,,,,,,pilateswall,,,,,,,,,,
416,Wall Lat Pull-Down,back,,,,,,,,,,,,pilateswall,,,,,,,,,,
417,Wall Isometric Row,back,,,,,,,,,,,,pilateswall,,,,,,,,,,
418,Wall Bicep Iso Press,shoulders,,,,,,,,,,,,pilateswall,,,,,,,,,,
419,Wall Y-W-T Raises,shoulders,,,,,,,,,,,,pilateswall,,,,,,,,,,
420,Wall Handstand Prep,shoulders,,,,,,,,,,,,pilateswall,,,,,,,,,,
